"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"boroughMu[1] Allerton",-0.258918568823869,-0.257986,-0.250947397534111,1111,0.95,-0.709651,0.187751,NA,NA,NA,NA,NA,NA,NA
"boroughMu[2] Arden Heights",0.0594410392007773,0.05822215,0.0574560322562336,1102.1,0.95,-0.390661,0.504747,NA,NA,NA,NA,NA,NA,NA
"boroughMu[3] Arrochar",0.478867200489033,0.4754185,0.470172838442062,1124.5,0.95,0.0363085,0.932728,NA,NA,NA,NA,NA,NA,NA
"boroughMu[4] Arverne",-0.134858675711833,-0.135137,-0.133982227946672,1109.9,0.95,-0.587953,0.307806,NA,NA,NA,NA,NA,NA,NA
"boroughMu[5] Astoria",-0.138953605670293,-0.138288,-0.131948317066473,1155.5,0.95,-0.590382,0.315796,NA,NA,NA,NA,NA,NA,NA
"b0",3.8944650628795,3.89445,3.89342333292346,690739.4,0.95,3.8638,3.92541,NA,NA,NA,NA,NA,NA,NA
"b[1] Allerton",-0.211229406733808,-0.2114,-0.216062642612578,999928.4,0.95,-0.416637,-0.00619687,NA,NA,NA,NA,NA,NA,NA
"b[2] Arden Heights",-0.069817209348584,-0.06844795,-0.0635544278190525,995154,0.95,-0.502235,0.364626,NA,NA,NA,NA,NA,NA,NA
"b[3] Arrochar",-0.133459179395486,-0.133316,-0.135901442766868,990306.2,0.95,-0.470103,0.2011,NA,NA,NA,NA,NA,NA,NA
"b[4] Arverne",0.186364389309848,0.186803,0.18872270631055,1000008,0.95,0.0230186,0.34641,NA,NA,NA,NA,NA,NA,NA
"b[5] Astoria",-0.0236720269885185,-0.0236916,-0.0251615893298616,988756.1,0.95,-0.0838975,0.0365252,NA,NA,NA,NA,NA,NA,NA
"b[6] Bath Beach",0.0386685373947344,0.03862835,0.0300778068411396,984286.4,0.95,-0.254544,0.327311,NA,NA,NA,NA,NA,NA,NA
"b[7] Battery Park City",0.712461929771562,0.712938,0.714567567474772,993641.4,0.95,0.525708,0.895762,NA,NA,NA,NA,NA,NA,NA
"b[8] Bay Ridge",7.82360344104795e-05,-0.0004670535,0.00833646759832329,1000008,0.95,-0.172239,0.170874,NA,NA,NA,NA,NA,NA,NA
"b[9] Bay Terrace",-0.0712629638638802,-0.07047035,-0.0670116816621743,995979.1,0.95,-0.396531,0.251292,NA,NA,NA,NA,NA,NA,NA
"b[10] Bay Terrace, Staten Island",-0.163217569772769,-0.1648,-0.172898826302801,995155.5,0.95,-0.591818,0.273835,NA,NA,NA,NA,NA,NA,NA
"b[11] Baychester",-0.148776096245503,-0.147376,-0.144632335448157,1003134.6,0.95,-0.462334,0.168612,NA,NA,NA,NA,NA,NA,NA
"b[12] Bayside",-0.180153415666581,-0.1802095,-0.193228532300991,1000008,0.95,-0.470607,0.108751,NA,NA,NA,NA,NA,NA,NA
"b[13] Bayswater",-0.0984184774578634,-0.0995873,-0.102981699426568,1000008,0.95,-0.571118,0.379215,NA,NA,NA,NA,NA,NA,NA
"b[14] Bedford-Stuyvesant",-0.0621736192377454,-0.06216395,-0.0615054485895006,775712.6,0.95,-0.0994663,-0.0241544,NA,NA,NA,NA,NA,NA,NA
"b[15] Belle Harbor",0.0503817037014786,0.0536075,0.0591061254590102,1000008,0.95,-0.409714,0.507153,NA,NA,NA,NA,NA,NA,NA
"b[16] Bellerose",-0.0559919946208803,-0.05491395,-0.0563061787122561,1000008,0.95,-0.439883,0.324691,NA,NA,NA,NA,NA,NA,NA
"b[17] Belmont",-0.575321024456925,-0.580458,-0.597480642305761,1000008,0.95,-0.94187,-0.195489,NA,NA,NA,NA,NA,NA,NA
"b[18] Bensonhurst",-0.218054665572319,-0.218069,-0.221470819349598,996038.2,0.95,-0.373545,-0.0613379,NA,NA,NA,NA,NA,NA,NA
"b[19] Bergen Beach",0.130137755395315,0.1315175,0.13336169908493,1000008,0.95,-0.246938,0.501286,NA,NA,NA,NA,NA,NA,NA
"b[20] Boerum Hill",0.416015360788114,0.41621,0.415033778624015,1000008,0.95,0.302461,0.52886,NA,NA,NA,NA,NA,NA,NA
"b[21] Borough Park",-0.383880120611935,-0.384945,-0.385466555195064,993373.4,0.95,-0.51149,-0.25263,NA,NA,NA,NA,NA,NA,NA
"b[22] Briarwood",-0.109716219605771,-0.109596,-0.116041683162264,1000008,0.95,-0.316968,0.0953382,NA,NA,NA,NA,NA,NA,NA
"b[23] Brighton Beach",0.188680065237167,0.1889205,0.188534924176278,1000008,0.95,-0.0338644,0.409057,NA,NA,NA,NA,NA,NA,NA
"b[24] Bronxdale",-0.438640548727528,-0.4401855,-0.451658075946218,1000008,0.95,-0.680481,-0.193078,NA,NA,NA,NA,NA,NA,NA
"b[25] Brooklyn Heights",0.538153157620739,0.538838,0.540501033976004,1000008,0.95,0.407099,0.668899,NA,NA,NA,NA,NA,NA,NA
"b[26] Brownsville",-0.203708880210825,-0.204079,-0.202662635832406,1000008,0.95,-0.351231,-0.0548425,NA,NA,NA,NA,NA,NA,NA
"b[27] Bushwick",-0.246778098581211,-0.246779,-0.246988832203776,794717.4,0.95,-0.286993,-0.206336,NA,NA,NA,NA,NA,NA,NA
"b[28] Cambria Heights",-0.0739742750972812,-0.07400105,-0.0810497902010479,996557,0.95,-0.33775,0.198066,NA,NA,NA,NA,NA,NA,NA
"b[29] Canarsie",-0.0575167688046404,-0.05747555,-0.0568507677979047,1002833.6,0.95,-0.170331,0.0566156,NA,NA,NA,NA,NA,NA,NA
"b[30] Carroll Gardens",0.399348413070695,0.399429,0.398310625559578,993501.5,0.95,0.315964,0.483712,NA,NA,NA,NA,NA,NA,NA
"b[31] Castleton Corners",-0.268830775066163,-0.267518,-0.262121053725945,994403,0.95,-0.707363,0.176427,NA,NA,NA,NA,NA,NA,NA
"b[32] Chelsea",0.806724329552364,0.806845,0.806937527763955,984149.5,0.95,0.7411,0.872924,NA,NA,NA,NA,NA,NA,NA
"b[33] Chinatown",0.422631653115775,0.422654,0.424244852879078,996516.2,0.95,0.335325,0.510565,NA,NA,NA,NA,NA,NA,NA
"b[34] City Island",-0.0617947854929533,-0.059666,-0.0584494175841943,997145.5,0.95,-0.386553,0.261916,NA,NA,NA,NA,NA,NA,NA
"b[35] Civic Center",0.429712255067274,0.42881,0.429937497939149,1000008,0.95,0.186008,0.675451,NA,NA,NA,NA,NA,NA,NA
"b[36] Claremont Village",-0.285283766556618,-0.285429,-0.286461884430441,993668,0.95,-0.547567,-0.0247436,NA,NA,NA,NA,NA,NA,NA
"b[37] Clason Point",-0.111908310546433,-0.110641,-0.10333817626671,994937.7,0.95,-0.344156,0.117003,NA,NA,NA,NA,NA,NA,NA
"b[38] Clifton",-0.289487207881278,-0.291747,-0.298610708171349,993244.5,0.95,-0.608659,0.0289139,NA,NA,NA,NA,NA,NA,NA
"b[39] Clinton Hill",0.280774815775974,0.28084,0.280185429295764,983391.4,0.95,0.209939,0.352181,NA,NA,NA,NA,NA,NA,NA
"b[40] Cobble Hill",0.474693536952604,0.475353,0.481636122242353,1000008,0.95,0.325506,0.623401,NA,NA,NA,NA,NA,NA,NA
"b[41] College Point",-0.120085620102789,-0.121005,-0.132697896823436,1000008,0.95,-0.39864,0.154927,NA,NA,NA,NA,NA,NA,NA
"b[42] Columbia St",0.276515104022713,0.27713,0.271672440834175,1000008,0.95,0.0726856,0.480956,NA,NA,NA,NA,NA,NA,NA
"b[43] Concord",0.000432351601397583,0.0019572,0.00738753267476588,1000008,0.95,-0.348972,0.349654,NA,NA,NA,NA,NA,NA,NA
"b[44] Concourse",-0.215680312903745,-0.215688,-0.215344989941687,1004305.6,0.95,-0.401667,-0.0291403,NA,NA,NA,NA,NA,NA,NA
"b[45] Concourse Village",-0.217011608960413,-0.216097,-0.21713821350314,1005670.7,0.95,-0.483887,0.0460643,NA,NA,NA,NA,NA,NA,NA
"b[46] Coney Island",0.235416752488038,0.237744,0.241075106762244,998855,0.95,-0.073991,0.541585,NA,NA,NA,NA,NA,NA,NA
"b[47] Corona",-0.398330784577508,-0.4001715,-0.405765152191608,1000008,0.95,-0.627733,-0.163507,NA,NA,NA,NA,NA,NA,NA
"b[48] Crown Heights",-0.0152252426936112,-0.01525975,-0.0172182419655641,855800.8,0.95,-0.0624637,0.0315885,NA,NA,NA,NA,NA,NA,NA
"b[49] Cypress Hills",-0.348710379534744,-0.349519,-0.347953694644773,1000008,0.95,-0.481037,-0.216192,NA,NA,NA,NA,NA,NA,NA
"b[50] Ditmars Steinway",-0.0476498825122071,-0.0476082,-0.0454586306737415,1000008,0.95,-0.140486,0.0461986,NA,NA,NA,NA,NA,NA,NA
"b[51] Douglaston",0.0321387643962661,0.034957,0.0523256490033528,994189.3,0.95,-0.423454,0.478187,NA,NA,NA,NA,NA,NA,NA
"b[52] Downtown Brooklyn",0.320722196819575,0.321678,0.320857086880246,997062.1,0.95,0.139475,0.49954,NA,NA,NA,NA,NA,NA,NA
"b[53] DUMBO",0.290551439449464,0.291102,0.294336979116433,1006292,0.95,0.0835954,0.496493,NA,NA,NA,NA,NA,NA,NA
"b[54] Dyker Heights",-0.0513553216546212,-0.0528596,-0.0563413619667303,1000008,0.95,-0.419572,0.31863,NA,NA,NA,NA,NA,NA,NA
"b[55] East Elmhurst",-0.233401130623561,-0.2336975,-0.235923698502423,1000008,0.95,-0.346253,-0.118395,NA,NA,NA,NA,NA,NA,NA
"b[56] East Flatbush",-0.201794237184103,-0.201806,-0.205040910760256,996775.8,0.95,-0.277911,-0.124768,NA,NA,NA,NA,NA,NA,NA
"b[57] East Harlem",0.155927211689586,0.15595,0.157650360026335,990857.8,0.95,0.097704,0.213152,NA,NA,NA,NA,NA,NA,NA
"b[58] East New York",-0.248344375128889,-0.248505,-0.247919967984132,1000008,0.95,-0.353935,-0.142632,NA,NA,NA,NA,NA,NA,NA
"b[59] East Village",0.524532223125215,0.524503,0.522731478384627,855102.3,0.95,0.477737,0.570875,NA,NA,NA,NA,NA,NA,NA
"b[60] Eastchester",0.0673350647050384,0.07103715,0.0824952899674745,1000008,0.95,-0.234779,0.358858,NA,NA,NA,NA,NA,NA,NA
"b[61] Edenwald",-0.0652262294641205,-0.06421275,-0.064419445662959,1000008,0.95,-0.30729,0.174583,NA,NA,NA,NA,NA,NA,NA
"b[62] Edgemere",0.212318930048461,0.21456,0.226871222007455,1000008,0.95,-0.148688,0.567201,NA,NA,NA,NA,NA,NA,NA
"b[63] Elmhurst",-0.333168915352577,-0.333505,-0.336270964431551,1000008,0.95,-0.447205,-0.218094,NA,NA,NA,NA,NA,NA,NA
"b[64] Eltingville",-0.0273310117560832,-0.0294159,-0.0366916890942404,1000008,0.95,-0.424543,0.369571,NA,NA,NA,NA,NA,NA,NA
"b[65] Emerson Hill",-0.160963985540424,-0.161657,-0.165126951332348,996707.4,0.95,-0.549696,0.226001,NA,NA,NA,NA,NA,NA,NA
"b[66] Far Rockaway",-0.034613013514269,-0.0363901,-0.0288437000400482,1000008,0.95,-0.396861,0.339131,NA,NA,NA,NA,NA,NA,NA
"b[67] Fieldston",-0.103259525988776,-0.102129,-0.108775543368202,998411.9,0.95,-0.474279,0.272759,NA,NA,NA,NA,NA,NA,NA
"b[68] Financial District",0.529461288347693,0.529485,0.531577358189399,1000008,0.95,0.416674,0.642638,NA,NA,NA,NA,NA,NA,NA
"b[69] Flatbush",-0.149660690057313,-0.149646,-0.148958245926783,995887.6,0.95,-0.214474,-0.0845798,NA,NA,NA,NA,NA,NA,NA
"b[70] Flatiron District",0.763170341143271,0.76332,0.756597868685713,1000008,0.95,0.581311,0.944467,NA,NA,NA,NA,NA,NA,NA
"b[71] Flatlands",-0.335634913535143,-0.3366435,-0.339049456784077,996873.7,0.95,-0.511972,-0.155852,NA,NA,NA,NA,NA,NA,NA
"b[72] Flushing",-0.180240794744142,-0.180365,-0.182616896275463,969732.9,0.95,-0.257945,-0.102678,NA,NA,NA,NA,NA,NA,NA
"b[73] Fordham",-0.314429021154886,-0.314208,-0.314716018176461,1004129.8,0.95,-0.538939,-0.0924655,NA,NA,NA,NA,NA,NA,NA
"b[74] Forest Hills",-0.111889854099809,-0.112303,-0.112844891541972,1000008,0.95,-0.265062,0.038149,NA,NA,NA,NA,NA,NA,NA
"b[75] Fort Greene",0.401341415627675,0.401445,0.402594904908639,986293.3,0.95,0.327932,0.474713,NA,NA,NA,NA,NA,NA,NA
"b[76] Fort Hamilton",0.107026652762361,0.106785,0.100752338337347,1000008,0.95,-0.0748323,0.288404,NA,NA,NA,NA,NA,NA,NA
"b[77] Fort Wadsworth",0.0281762773826127,0.0312199,0.034160886831778,991501.3,0.95,-0.430386,0.480622,NA,NA,NA,NA,NA,NA,NA
"b[78] Fresh Meadows",-0.314638948627261,-0.315843,-0.315736514602558,1000008,0.95,-0.586235,-0.0384694,NA,NA,NA,NA,NA,NA,NA
"b[79] Glendale",-0.0329722699360192,-0.0322083,-0.0281248655924908,1000008,0.95,-0.24107,0.173895,NA,NA,NA,NA,NA,NA,NA
"b[80] Gowanus",0.325428302817377,0.325594,0.327857914844948,996551.3,0.95,0.223348,0.428205,NA,NA,NA,NA,NA,NA,NA
"b[81] Gramercy",0.560867893001856,0.560813,0.563686069299333,1000008,0.95,0.448513,0.674046,NA,NA,NA,NA,NA,NA,NA
"b[82] Grant City",-0.350543687349854,-0.35209,-0.351513896132036,987602.6,0.95,-0.706676,0.00358746,NA,NA,NA,NA,NA,NA,NA
"b[83] Gravesend",-0.0992687924679523,-0.09935075,-0.102252818410217,994497.4,0.95,-0.262726,0.0633913,NA,NA,NA,NA,NA,NA,NA
"b[84] Great Kills",-0.146285343082346,-0.146777,-0.150288846436791,1000008,0.95,-0.496174,0.202221,NA,NA,NA,NA,NA,NA,NA
"b[85] Greenpoint",0.311248598183215,0.31128,0.3116905581606,971735.4,0.95,0.249933,0.372269,NA,NA,NA,NA,NA,NA,NA
"b[86] Greenwich Village",0.793558798858609,0.7935755,0.793126422725378,1000008,0.95,0.704027,0.883607,NA,NA,NA,NA,NA,NA,NA
"b[87] Grymes Hill",0.0821232410621483,0.08308255,0.0806384272568814,1000008,0.95,-0.267247,0.428238,NA,NA,NA,NA,NA,NA,NA
"b[88] Harlem",0.128565129365365,0.128547,0.128670935036943,865057.4,0.95,0.0872,0.170144,NA,NA,NA,NA,NA,NA,NA
"b[89] Hell's Kitchen",0.695906016009872,0.695878,0.694926346286326,878984.8,0.95,0.641117,0.751751,NA,NA,NA,NA,NA,NA,NA
"b[90] Highbridge",-0.215509108278584,-0.2151235,-0.219115791791403,1000008,0.95,-0.557424,0.124787,NA,NA,NA,NA,NA,NA,NA
"b[91] Hollis",-0.100411175370712,-0.10029,-0.0975230193997062,1000008,0.95,-0.373317,0.175433,NA,NA,NA,NA,NA,NA,NA
"b[92] Holliswood",-0.0093678334034411,-0.00735066,-0.0197147392948158,1000008,0.95,-0.390673,0.369458,NA,NA,NA,NA,NA,NA,NA
"b[93] Howard Beach",0.0571078203627712,0.0587216,0.0631831627305555,1000008,0.95,-0.242834,0.356796,NA,NA,NA,NA,NA,NA,NA
"b[94] Howland Hook",-0.0210248487898906,-0.01836665,-0.00602751682908331,993939.7,0.95,-0.467368,0.413961,NA,NA,NA,NA,NA,NA,NA
"b[95] Huguenot",0.0822957929693244,0.08438125,0.0934329344346325,996433.3,0.95,-0.403515,0.566691,NA,NA,NA,NA,NA,NA,NA
"b[96] Hunts Point",-0.600928899938231,-0.603581,-0.608171340259546,1002702.7,0.95,-0.810485,-0.389059,NA,NA,NA,NA,NA,NA,NA
"b[97] Inwood",-0.122982365250377,-0.123175,-0.118946202006885,993708.8,0.95,-0.22762,-0.0186076,NA,NA,NA,NA,NA,NA,NA
"b[98] Jackson Heights",-0.137844094462269,-0.1378345,-0.137991506304774,995799.6,0.95,-0.254753,-0.0210432,NA,NA,NA,NA,NA,NA,NA
"b[99] Jamaica",-0.210674041269786,-0.2106425,-0.212242500487432,995927.6,0.95,-0.31137,-0.108922,NA,NA,NA,NA,NA,NA,NA
"b[100] Jamaica Estates",-0.139380789940482,-0.139737,-0.142288820855587,1001474.8,0.95,-0.486442,0.212725,NA,NA,NA,NA,NA,NA,NA
"b[101] Kensington",-0.177995226596089,-0.178131,-0.179012376254743,1000008,0.95,-0.294519,-0.0599811,NA,NA,NA,NA,NA,NA,NA
"b[102] Kew Gardens",0.0496340550097373,0.0498454,0.0514647970103264,1000008,0.95,-0.202283,0.297292,NA,NA,NA,NA,NA,NA,NA
"b[103] Kew Gardens Hills",-0.111957821678033,-0.111581,-0.112403273901478,1000008,0.95,-0.345209,0.122891,NA,NA,NA,NA,NA,NA,NA
"b[104] Kingsbridge",-0.238266756663005,-0.238121,-0.237307131687989,996263.7,0.95,-0.41385,-0.0631263,NA,NA,NA,NA,NA,NA,NA
"b[105] Kips Bay",0.544140346330229,0.544101,0.545487004624526,1000008,0.95,0.45429,0.63343,NA,NA,NA,NA,NA,NA,NA
"b[106] Laurelton",-0.127017486652433,-0.127678,-0.131030109990499,1000008,0.95,-0.434164,0.176655,NA,NA,NA,NA,NA,NA,NA
"b[107] Lighthouse Hill",0.0908243969478287,0.09258355,0.0893695771523493,991788,0.95,-0.398808,0.584762,NA,NA,NA,NA,NA,NA,NA
"b[108] Little Italy",0.707603867244062,0.706987,0.705880793111339,994979.7,0.95,0.521165,0.895831,NA,NA,NA,NA,NA,NA,NA
"b[109] Little Neck",-0.456684949444651,-0.4614175,-0.468326608350585,1003048.9,0.95,-0.892684,-0.0114315,NA,NA,NA,NA,NA,NA,NA
"b[110] Long Island City",0.193988319095217,0.193944,0.194693334609665,994402.2,0.95,0.111391,0.277089,NA,NA,NA,NA,NA,NA,NA
"b[111] Longwood",-0.248223434320434,-0.248432,-0.244961942979117,996434.2,0.95,-0.438115,-0.0566759,NA,NA,NA,NA,NA,NA,NA
"b[112] Lower East Side",0.474112475943192,0.474116,0.475592618239837,963251.5,0.95,0.408424,0.539365,NA,NA,NA,NA,NA,NA,NA
"b[113] Manhattan Beach",0.247313293341997,0.250204,0.26257600455494,1003475.6,0.95,-0.101383,0.594777,NA,NA,NA,NA,NA,NA,NA
"b[114] Marble Hill",-0.0488161947289092,-0.05382135,-0.0634483919191096,995387.6,0.95,-0.366735,0.275905,NA,NA,NA,NA,NA,NA,NA
"b[115] Mariners Harbor",-0.278746979785895,-0.28081,-0.283815288964943,996828.2,0.95,-0.590709,0.0396408,NA,NA,NA,NA,NA,NA,NA
"b[116] Maspeth",-0.284144615005171,-0.284342,-0.28591062038164,1000008,0.95,-0.429724,-0.1378,NA,NA,NA,NA,NA,NA,NA
"b[117] Melrose",-0.190211234243789,-0.189752,-0.18368508873236,1000008,0.95,-0.509201,0.130242,NA,NA,NA,NA,NA,NA,NA
"b[118] Middle Village",0.0606581635783913,0.0609939,0.0587758889906778,1001118.4,0.95,-0.16033,0.283994,NA,NA,NA,NA,NA,NA,NA
"b[119] Midland Beach",-0.0318039208989606,-0.03059195,-0.0233250496371421,995591.2,0.95,-0.385106,0.320624,NA,NA,NA,NA,NA,NA,NA
"b[120] Midtown",0.795469627619979,0.795425,0.794750002554059,989906.9,0.95,0.724736,0.867046,NA,NA,NA,NA,NA,NA,NA
"b[121] Midwood",-0.150668111323731,-0.151221,-0.147339747256213,1000008,0.95,-0.28827,-0.0113513,NA,NA,NA,NA,NA,NA,NA
"b[122] Mill Basin",0.0812183386082979,0.08110005,0.0721203215982789,1000008,0.95,-0.350544,0.501907,NA,NA,NA,NA,NA,NA,NA
"b[123] Morningside Heights",0.12280331937388,0.122705,0.121407972298078,995109.6,0.95,0.0389663,0.205574,NA,NA,NA,NA,NA,NA,NA
"b[124] Morris Heights",-0.295476349685723,-0.2973885,-0.30362350504209,1000008,0.95,-0.642111,0.0582915,NA,NA,NA,NA,NA,NA,NA
